apple: mela
book: libro
cat: gatto
dog: cane
house: casa
tree: albero
car: macchina
water: acqua
fire: fuoco
sun: sole
moon: luna
star: stella
sky: cielo
sea: mare
river: fiume
mountain: montagna
hill: collina
forest: foresta
field: campo
flower: fiore
garden: giardino
road: strada
street: via
school: scuola
teacher: insegnante
student: studente
child: bambino
baby: bebè
family: famiglia
friend: amico
food: cibo
bread: pane
milk: latte
cheese: formaggio
meat: carne
fish: pesce
vegetable: verdura
fruit: frutta
breakfast: colazione
lunch: pranzo
dinner: cena
coffee: caffè
tea: tè
sugar: zucchero
salt: sale
pepper: pepe
oil: olio
butter: burro
egg: uovo
chicken: pollo
beef: manzo
pork: maiale
lamb: agnello
soup: zuppa
salad: insalata
cake: torta
cookie: biscotto
chocolate: cioccolato
candy: caramella
ice cream: gelato
sandwich: panino
rice: riso
pasta: pasta
potato: patata
tomato: pomodoro
onion: cipolla
garlic: aglio
pepper: peperone
carrot: carota
lettuce: lattuga
cucumber: cetriolo
mushroom: fungo
corn: mais
spinach: spinaci
broccoli: broccolo
pea: pisello
bean: fagiolo
lentil: lenticchia
chickpea: cece
orange: arancia
banana: banana
grape: uva
peach: pesca
plum: prugna
pear: pera
strawberry: fragola
raspberry: lampone
blueberry: mirtillo
watermelon: anguria
lemon: limone
lime: lime
cherry: ciliegia
kiwi: kiwi
pineapple: ananas
mango: mango
papaya: papaya
coconut: cocco
